institution,city,address,course,district,telephone,email
יאיר אסודי מקצועות המים הצלה,יסוד המעלה,יסוד המעלה ת.ד.99 מיקוד 50121,הצלה בבריכות שחיה סוג 1,חיפה והצפון,6937152,yairassodi@gmail.com
יאיר אסודי מקצועות המים הצלה,יסוד המעלה,יסוד המעלה ת.ד.99 מיקוד 50121,הצלה בבריכות שחיה- סוג 1(705),חיפה והצפון,6937152,yairassodi@gmail.com
יאיר אסודי מקצועות המים הצלה,יסוד המעלה,יסוד המעלה ת.ד.99 מיקוד 50121,הצלה בבריכת שחיה סוג 1,חיפה והצפון,6937152,yairassodi@gmail.com
מגן דוד אדום בישראל,תל אביב - יפו,יגאל אלון 06,פראמדיק,תל אביב והמרכז,,
"""אומנות השיער"" מרגי יוסי",עכו(כולל אז.תע.),רחוב העצמאות 31,ספרות נשים סוג 1 (605),חיפה והצפון,,
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",הנהלת חשבונות 1+2 חדש (בסיסי +מתקדם),חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",חשבי שכר,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",חשמלאי מתח גבוה (מסוייג),חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מזכירות רפואית,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מחנכת מטפלת בילדים 1 לבעלות רקע מגמה 955,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מחנכת מטפלת בילדים סוג 2 (951),חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מחנכת/מטפלת לפעוטות במעונות יום סוג 1 (950),חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מטפלות בילדים במעונות יום סוג 2,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מטפלות במעונות יום סוג 1,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מטפלות במעונות יום-סוג 1-לבעלות רקע מעשי,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מנהל חשבונות סוג  - 2 מתקדם,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מנהל חשבונות סוג -1 בסיסי,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מנהל עבודה בתעשייה,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מנהלי עבודה בתעשייה,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מפעיל מתקני תעשייה,חיפה והצפון,49808191,leah@erezcollege.org.il
